vocab
керлинг
кёрлинг
стадион
актив
атак
ыгр
оборон
трибун
корт
плов
плав
перекладин
шест
титул
таймер
льд
продукт
поражени
ворот
накал
состав
прокат
сет
бои
бою
бое
двиг
заним
движ
каратэ
замин
участ
туризм
энерг
передач
поединок
прыг
кувыр
торс
паралимп
сурдлимп
зож
борет
гонк
борем
макияж
бьюти
уход
декор
масс-маркет
массмаркет
люкс
нишев
губ
карандаш
помад
блеск
матов
блест
глянц
глянец
текстур
глиттер
пудр
основ
крем
бб
сс
bb
cc
баз
тон
глаз
подвод
туш
лайнер
кайал
стойк
бров
гел
кист
щетк
крас
хайлайтер
дух
аромат
запах
средств
матир
маск
визаж
сыворот
сия
тен
тинт
румян
оттен
консилер
праймер
палет
сатин
увлажн
anti-age
antiage
век
мицелл
гидрофильн
тоник
лосьон
spf
шампун
бальзам
рассчес
уклад
улож
лак
фен
объем
oil-free
oilfree
paraben-free
parabenfree
пенк
спонж
скраб
скульпт
фаз
блюр
кушон
флакон
воск
марафет
волос
салон
пил
маникюр
педикюр
френч
рутин
ногт
фибр
бустер
керлер
кёрлер
плойк
бигуд
контур
патч
плампер
ремувер
серум
стробинг
файбер
ресниц
космет
смоки
металлик
нюд
солнцезащит
очищ
проб
шпател
хна
хной
перманент
кож
акне
воспален
бейкинг
бэйкинг
антисерн
люминайзер
минерал
микшер
пигмент
софтнер
стик
тальк
фикс
флюид
шиммер
блик
тату
колор
прозрачн
пуховк
аджастер
блендер
атомайзер
браш
градиент
дрейпинг
мист
микроблейдинг
метеорит
свотч
слюд
фейс
тестер
омбре
эссенц
гуру
санскрин
тонер
эксфолиант
икон
тренд
маст-хэв
мастхэв
must-have
musthave
фейк
beauty
балаяж
челк
чёлк
шея
шеи
шее
шеллак
носогуб
компонент
альгинат
аппликатор
лифтинг
дозатор
масл
мейк
напылен
пинцет
сух
чувствительн
комбинирован
иллюминайзер
мак
шанел
диор
комедон
отшелуш
питательн
тюбик
сефор
инглот
умыва
щипчик
клиник
масок
ланком
нарс
смэшбокс
кардашьян
дженнер
кайли
завивк
ображ
chanel
натур
естеств
гиалурон
стил
неон
акцент
краш
реснич
мэйк
нанес
ухож
выгляд
наклад
нанос
перламутр
коллаген
cosmetic
натурель
имидж
парик
морщин
скул
внешност
мерца
минимайзер
кино
акт
боевик
анима
персонаж
комеди
трупп
сценар
детектив
массовк
режиссер
документаль
фильм
дубляж
сери
эпизод
худож
пленк
ужас
триллер
грим
мюзикл
сюжет
афиш
декорац
кадр
билет
трюк
каскадер
субтитр
звук
саундтрек
дубл
сним
выпуск
утопи
трехмерн
съемк
съемо
бюджет
рейтинг
показ
оскар
эффект
график
награж
голливуд
обзор
постанов
роль
камер
видео
телеви
репетиц
фантаст
ромком
хоррор
каст
смотр
зомб
реценз
канн
картин
тизер
трейлер
саг
дисней
звезд
спилберг
нолан
пьес
спектакл
занавес
трилог
экшен
экшон
критик
съёмо
съёмк
театр
кинематограф
вестерн
ммкф
линч
парод
советск
спойлер
титр
фрагмент
зрител
зал
канал
криминал
сиквел
спин
офф
спинофф
хромаке
хронометраж
приквел
короткометраж
снят
касс
дикаприо
кубрик
питт
хичкок
шварц
сыгр
джоли
хэнкс
смит
дениро
тарантино
дорожк
комикс
марвел
кэмерон
протагонист
антагонист
хронолог
disney
экспозиц
классик
канон
реткон
реализм
бедкомедиан
ремейк
ребут
нуар
артхаус
байопик
биограф
слэш
мокьюментар
искусств
авангард
блокбастер
камео
монтаж
мульт
ракурс
саспенс
пленоч
объектив
фотосесс
фотосет
фото
экшн
приключен
мстител
ляп
геро
режиссёр
титаник
marvel
перезапуск
публик
треш
франшиз
модерн
сеанс
снял
сняв
пересматр
адаптац
типаж
концовк
эпич
харизм
гэтсби
дистрибьютор
сюрреал
болливуд
телепередач
полнометраж
киберпанк
перебивк
перспектив
реверс
ситком
скай
фай
скайфай
сплэттер
стимпанк
твист
футадж
графен
мэйджор
ретроспектив
квадриквел
ролик
рекап
триквел
мидквел
кроссовер
интерквел
нарратив
флэшбек
флешбек
пилот
флэшбэк
бекстейдж
бэкстейдж
реквизит
сизл
роуд
муви
план
бадди
баддимуви
фон
постер
павильон
знаменитост
гейм
агро
нуб
аддон
адд-он
эддон
альфа
тест
анон
антаг
ап
афк
бан
ачив
бафф
билд
босс
бот
буст
вайп
ваншот
хэдшот
варлок
vr
гамать
гамовер
гайд
демк
демо
дисконнект
донат
твич
ar
зерг
ивент
эвент
игроман
имб
килл
virtuspro
квест
консол
манипулятор
джойстик
лаг
ламер
пинг
приставк
прокач
прошивк
рейд
рэйд
респаун
реконект
реюз
рест
мана
маны
рпг
сапорт
симулятор
скилл
абилити
файтинг
фарм
хилк
хилит
хедшот
тайминг
хиллер
чит
шутер
энчант
эмулятор
юзат
gta
farcry
outlast
uncharted
skyrim
doom
dota
fps
алени
ассаулт
армор
батл
блинк
браблей
бродилк
дамаг
дамаж
аватар
алиас
алерт
апгрейд
бумер
берсерк
взлом
дюсик
hl2
half
life
банкролл
counter
strike
csgo
модератор
фраг
warcraft
квакер
quake
стрелялк
фкс
blizzard
e3
стрим
раунд
ddos
чекпоинт
хитпоинт
moba
hearthstone
blizzcon
wargaming
озверин
xbox
ps4
рулез
скин
мод
слоупок
твитч
фейл
фантом
фичи
фича
хардлайнер
левел
юнит
альт
акк
аркад
ассасин
арч
ассист
rpg
байнд
майнкрафт
гвард
гринд
данж
казуальн
кайт
каребир
кулдаун
лакер
майнер
ммо
mmo
моб
павнер
повнер
рендж
респавн
саппорт
спот
суммон
саммон
твинк
урк
стратег
фидер
чар
эксплоит
beta
alpha
абилк
бурст
гард
грейд
ранг
дизейбл
диспел
крипер
эндермен
эндермэн
лейт
манч
мдеф
npc
нпс
скрин
таунт
трейн
ульт
sony
фришард
хаст
цтф
ctf
экспа
психолог
фрейд
psycholog
социо
обществ
психич
ментал
интровер
экстравер
познан
самореализац
юнг
поведен
сознан
эго
депрес
сублимац
сознательн
фоби
психиатр
психотерап
терапи
апати
эмпати
психоанализ
мышлен
психотип
роршах
конформ
темперамент
коуч
философ
экзистенц
биполяр
разум
шизофрен
нейропсих
психоз
гипноз
синдром
помешательств
цнс
нерв
рефлекс
сангвиник
меланхол
флегматик
холерик
психик
жизн
самовнушен
восприяти
социум
сущност
невро
скиннер
бандура
пиаже
роджерс
эриксон
тайм-менеджмент
стереотип
счасть
свобод
настроен
личност
паническ
паник
характер
гнев
страх
риторик
магнетизм
преодолен
прострац
фрустрац
прокрастинац
аггравац
агнози
агресси
аддиктивн
аккомодац
акцентуац
апперцепц
архетип
аффект
деградац
деперсонализац
делинквентн
стресс
бессониц
параной
паранои
расстройств
вербальн
вменяем
галлюцин
гедонизм
генотип
клаустрофоб
когнитивн
мировоззрен
нарциссизм
регидност
самоконтрол
жен
муж
отнош
секс
выгоран
абули
абстиненц
аутосуггести
аффилиац
гипербули
инсайт
интроверси
интроспекци
онтогенез
смысл
перцептивн
рассудок
релаксаци
ретрит
саморегуляци
сенсибилизаци
синестез
притязани
фантази
успех
амбиверт
медитац
гештальт
срыв
судьб
подавленност
маслоу
бихевиоризм
вертгеймер
анимизм
артифициализм
гилозоизм
гносеологи
гипотими
девиант
когници
лидер
монотони
моббинг
нейротизм
психизм
парадигм
парамнези
профессиограмм
профессиограф
субъект
психогигиен
психограмм
психодиагност
психолингвист
психометрич
психопати
психотизм
сенестопати
вебер
холизм
эвристик
эйдетизм
экстаз
эйфори
электроэнцефалограф
экстраверси
амбивалентност
ригидност
катарсис
алекситими
конгруэнтност
гиперкомпенсаци
обсесси
барнум
форер
фаббинг
астролог
гороскоп
пигмалион
розентал
автарки
ассертивност
инфантилизм
компульсивн
перфекцион
мизантроп
аграфи
ажитац
акмеолог
аскез
аутосимпати
амбидекстри
амузи
ананказм
ангедони
антиципаци
астеник
астения
книг
книж
писател
пушкин
лермонтов
булгаков
тютчев
стругацки
довлатов
саморазвити
стихотворен
проз
сага
поэт
бард
поэзи
ямб
хорей
хорея
кристи
мердок
роман
чтени
том
текст
библиотек
журнал
читател
издани
тираж
корешок
поттер
роулинг
цитат
букинист
твен
данте
овиди
гораци
параграф
абзац
рукопис
толстой
шекспир
набоков
достоевск
фолкнер
диккенс
чехов
фицджеральд
киз
флобер
хемингуэй
кафка
остин
сэлинджер
литератур
сочинит
сочинен
сборник
издательств
бунин
маяковск
хрестомати
басн
чтив
гогол
прилепин
грибоедов
тургенев
куприн
цветаев
некрасов
гумилев
гумилёв
маршак
паустовск
карамзин
гиппиус
пастернак
островск
высоцк
фонвизин
произведени
афоризм
эпитет
метафор
аллюзи
олицетворен
контаминац
градац
антитез
оксюморон
перифраз
топос
аллегор
алогизм
автоэпиграф
игрок
аллитерац
анахронизм
фольклор
сказк
илиад
одиссе
сент-экзюпер
публицист
эпос
эссе
мемуар
мураками
драматург
новелл
очерк
повест
мадригал
трагеди
эпопе
сонет
петрарк
акмеизм
анапест
беллетристик
буриме
гипербол
гротеск
дифирамб
лаконизм
памфлет
притч
реплик
ремарк
рефрен
фабул
эвфемизм
элеги
эпилог
пролог
альманах
антолог
дактиль
декадент
завязк
имажинизм
импрессионизм
инвектив
классицизм
романтизм
клаузул
коллизи
контраст
онегин
пасторал
развязк
редакц
редакт
рондо
рубаи
символизм
станс
стилистик
строф
фельетон
абецедари
абреже
амебей
амплификаци
амфибрахий
аналект
тезис
архаизм
бестселлер
фантастика
фэнтези
герменевтик
глосса
дадаизм
децим
диалектизм
диастол
дистих
дохмий
евтерпа
зачин
силлепсис
зевгма
идиом
инкунабул
касида
катафор
катехизис
аннотаци
катахрез
компаративизм
куртуазн
кустод
литот
лиценци
манускрипт
метатез
метоними
месомакр
месобрахи
окказионализм
полемик
палиндром
пробрахи
синекдох
программи
ассемблер
планкалкюл
java
go
ruby
aspectc
aspectj
aspectlua
caesarj
compose
objectteams
qbasic
cg
jovial
pascal
rexx
php
gnu
lua
maple
matlab
occam
purebasic
scilab
оберон
уязвим
алгол
кобол
данны
паскал
репозитор
рапир
golang
mercury
prolog
delphi
dylan
python
eiffel
groovy
gml
haxe
io
iot
script
objective
perl
swift
pike
self
simula
smalltalk
vala
zonnon
ada
kotlin
erlang
gentee
алгоритм
информ
разраб
комп
эвм
клиент
сервер
бэкенд
фронтенд
бэкер
рефактор
код
домен
хост
сайт
приложен
веб
нейронн
цикл
питон
оператор
файл
обеспечен
хакатон
pc
интерфейс
юзабилити
usability
тестир
баг
процессор
движок
хак
пользовател
user
юзер
систем
клавиатур
вычисл
матриц
linux
ubuntu
верст
api
github
git
гит
бд
node
js
express
тьюринг
многопоточ
ibm
dell
microsoft
десктоп
ml
tensorflow
keras
coreml
парсер
sql
контроллер
итерац
шифр
ядр
mvc
mvvm
msi
invitational
international
steam
cyber
valve
мидер
видеоигр
прохожд
dlc
game
многопользоват
сетев
персонализац
виртус
бета
верс
ubisoft
самолет
море
отдых
поезд
дорога
отпуск
путь
страна
машин
путешеств
поездк
пляж
гор
поход
чемодан
мир
круиз
рюкзак
приключ
город
полет
радост
отель
палатк
автобус
автостоп
деньг
лето
карта
турци
экскурси
люди
work
вояж
курорт
лес
багаж
египет
океан
остров
шенген
песок
travel
кругосветн
ехат
путник
природ
границ
впечатлени
гид
пальм
маршрут
перелет
каникул
странств
паспорт
транспорт
виза
экспедиц
tripadvisor
европ
компас
аэропорт
сувенир
гостиниц
кочевник
отъезд
иммигр
решка
иностран
достопримечательност
теплоход
корабл
приезд
сафари
географи
загран
направлен
бразил
прибыт
столиц
кают
пассажир
крейсер
морск
отправлен
выезд
экипаж
экзотик
тропик
шереметьев
навигац
восхожден
инста
insta
испан
итал
австрали
сидне
тунис
греци
шри
ланк
таиланд
бали
мальт
камбодж
лондон
нью
йорк
америк
монако
гимала
оаэ
франци
германи
канад
мальдив
маврики
великобрит
норвег
финлянд
швец
альп
швейцар
австри
рим
ford
bmw
volvo
nissan
bugatti
lamborghini
porsche
mercedes
мерседес
lada
granta
ваз
лада
гранта
форд
бмв
вольво
ниссан
бугатти
акпп
мкпп
порш
рено
renault
хюндай
hyundai
genesis
сервис
шин
колес
пробег
двигател
мотор
skoda
шкод
порог
кузов
авто
иномарк
развал
угон
гоняет
гоняют
вожд
водит
дальнобойщ
фура
седан
купе
джип
магнитол
прицеп
фуры
дилер
форсаж
мустанг
дтп
регистратор
гараж
бензин
дизел
заправк
вездеход
камаз 
цилиндр
расход
км
скорост
оборот
спидометр
бентли
bentley
жигул
фургон
лимузин
дпс
аппарат
дорог
тягач
спорткар
road
glc
аккумулятор
tesla
камри
ферари
ferrari
феррари
механик
механич
опель
скручен
грузовик
хэтчбек
универсал
минивэн
внедорожник
mustang
apple
huawei
samsung
canon
wwdc
ios
iphone
ipad
техник
смартфон
планшет
сенсор
mac
dns
стилус
корпус
electronic
электронн
электрони
galaxy
девайс
устройств
цифров
экран
дисплей
